date;user;date_scraped;company_name;series;raised_funds;investors;date
10/05/2019 16:09;techcrunch;2019-05-10T16:07:32;fuboTV;;;;10/05/2019 16:09
10/05/2019 15:54;techcrunch;2019-05-10T15:52:55;Uber;public;8100000000.0 $;{'the New York Stock Exchange'};10/05/2019 15:54
10/05/2019 15:19;techcrunch;2019-05-10T15:17:36;Blue Origin;public;;{'Matt Burns', 'Jeff Bezos', 'TechCrunch'};10/05/2019 15:19
10/05/2019 15:09;techcrunch;2019-05-10T15:07:54;Amazon;;;;10/05/2019 15:09
10/05/2019 14:34;techcrunch;;;;;;10/05/2019 14:34
10/05/2019 14:19;techcrunch;2019-05-10T14:18:06;HMRC;public;;{'ICO', 'Steve Wood'};10/05/2019 14:19
10/05/2019 14:07;techcrunch;2019-05-10T14:06:06;Google;public;;{'CCI'};10/05/2019 14:07
10/05/2019 13:06;techcrunch;2019-05-10T13:05:50;Cook;;;;10/05/2019 13:06
10/05/2019 12:45;techcrunch;;Extra Crunch;public;;;10/05/2019 12:45
10/05/2019 12:01;techcrunch;2019-05-10T12:00:40;Uber;public;;{'Lyft'};10/05/2019 12:01
10/05/2019 11:51;techcrunch;;;;;;10/05/2019 11:51
10/05/2019 10:10;techcrunch;2019-05-10T10:09:24;Binance;;;;10/05/2019 10:10
10/05/2019 10:09;techcrunch;;;;;;10/05/2019 10:09
10/05/2019 10:01;techcrunch;2019-05-10T10:00:45;Daye;seed;;{'Kindred Capital', 'Tim Westergren', 'Index Ventures', 'Khosla', 'Kristina Simmons', 'Khosla Ventures', 'Hannah Seal', 'Pandora'};10/05/2019 10:01
10/05/2019 09:19;techcrunch;2019-05-10T09:18:11;King;public;;;10/05/2019 09:19
10/05/2019 05:16;techcrunch;2019-05-10T04:33:45;Sung;series b;10000000.0 $;{'Thai Express', 'Ozi Amanat', 'Singha Ventures', 'Openspace Ventures', 'Uber', 'Impossible Foods', 'K2 Global', 'FoodXervices', 'Genesis Alternative Ventures', 'Cento Ventures', 'Raging Bull', 'Majuven', 'Sass Corp', 'Ivan Lee'};10/05/2019 05:16
10/05/2019 01:00;techcrunch;;;;;;10/05/2019 01:00
10/05/2019 00:40;techcrunch;2019-05-10T00:39:17;Chelsea;;;;10/05/2019 00:40
08/05/2019 23:41;techcrunch;2019-05-08T23:39:28;Google;;;;08/05/2019 23:41
08/05/2019 23:04;techcrunch;2019-05-08T23:03:38;Uber;ipo;20000000.0 $;{'Meituan-Dianping'};08/05/2019 23:04
08/05/2019 23:00;techcrunch;2019-05-08T22:58:41;Google;;;;08/05/2019 23:00
08/05/2019 22:52;techcrunch;2019-05-08T22:51:11;Workhorse;;;;08/05/2019 22:52
08/05/2019 22:38;techcrunch;2019-05-08T22:37:11;YOLO;public;;{'Gregoire Henrion', 'Mindie', 'Yolo'};08/05/2019 22:38
08/05/2019 21:25;techcrunch;;;;;;08/05/2019 21:25
08/05/2019 21:04;techcrunch;;;;;;08/05/2019 21:04
08/05/2019 20:37;techcrunch;2019-05-08T20:35:07;Accel;public;;{'Spotify'};08/05/2019 20:37
08/05/2019 20:20;techcrunch;2019-05-08T20:19:37;Joseph Fink;;;;08/05/2019 20:20
08/05/2019 20:10;techcrunch;2019-05-08T20:08:30;HBO;series w;;;08/05/2019 20:10
08/05/2019 20:01;techcrunch;;;;;;08/05/2019 20:01
08/05/2019 19:58;techcrunch;2019-05-08T19:57:05;Google;public;;{'Google Play Console'};08/05/2019 19:58
