date;user;edited_data
10/05/2019 12:01;techcrunch;{'series': 'public', 'investors': {'Lyft'}, 'date_scraped': '2019-05-10T12:00:40', 'company_name': 'Uber'}
10/05/2019 11:51;techcrunch;
10/05/2019 10:10;techcrunch;{'date_scraped': '2019-05-10T10:09:24', 'company_name': 'Binance'}
10/05/2019 10:09;techcrunch;{'date_scraped': ''}
10/05/2019 10:01;techcrunch;{'series': 'seed', 'investors': {'Kindred Capital', 'Tim Westergren', 'Index Ventures', 'Khosla', 'Kristina Simmons', 'Khosla Ventures', 'Hannah Seal', 'Pandora'}, 'date_scraped': '2019-05-10T10:00:45', 'company_name': 'Daye'}
10/05/2019 09:19;techcrunch;{'series': 'public', 'date_scraped': '2019-05-10T09:18:11', 'company_name': 'King'}
10/05/2019 05:16;techcrunch;{'series': 'series b', 'raised_funds': '10000000.0 $', 'investors': {'Thai Express', 'Ozi Amanat', 'Singha Ventures', 'Openspace Ventures', 'Uber', 'Impossible Foods', 'K2 Global', 'FoodXervices', 'Genesis Alternative Ventures', 'Cento Ventures', 'Raging Bull', 'Majuven', 'Sass Corp', 'Ivan Lee'}, 'date_scraped': '2019-05-10T04:33:45', 'company_name': 'Sung'}
10/05/2019 01:00;techcrunch;
10/05/2019 00:40;techcrunch;{'date_scraped': '2019-05-10T00:39:17', 'company_name': 'Chelsea'}
08/05/2019 23:41;techcrunch;{'date_scraped': '2019-05-08T23:39:28', 'company_name': 'Google'}
08/05/2019 23:04;techcrunch;{'series': 'ipo', 'raised_funds': '20000000.0 $', 'investors': {'Meituan-Dianping'}, 'date_scraped': '2019-05-08T23:03:38', 'company_name': 'Uber'}
08/05/2019 23:00;techcrunch;{'date_scraped': '2019-05-08T22:58:41', 'company_name': 'Google'}
08/05/2019 22:52;techcrunch;{'date_scraped': '2019-05-08T22:51:11', 'company_name': 'Workhorse'}
08/05/2019 22:38;techcrunch;{'series': 'public', 'investors': {'Gregoire Henrion', 'Mindie', 'Yolo'}, 'date_scraped': '2019-05-08T22:37:11', 'company_name': 'YOLO'}
08/05/2019 21:25;techcrunch;
08/05/2019 21:04;techcrunch;
08/05/2019 20:37;techcrunch;{'series': 'public', 'investors': {'Spotify'}, 'date_scraped': '2019-05-08T20:35:07', 'company_name': 'Accel'}
08/05/2019 20:20;techcrunch;{'date_scraped': '2019-05-08T20:19:37', 'company_name': 'Joseph Fink'}
08/05/2019 20:10;techcrunch;{'series': 'series w', 'date_scraped': '2019-05-08T20:08:30', 'company_name': 'HBO'}
08/05/2019 20:01;techcrunch;
08/05/2019 19:58;techcrunch;{'series': 'public', 'investors': {'Google Play Console'}, 'date_scraped': '2019-05-08T19:57:05', 'company_name': 'Google'}
08/05/2019 19:57;techcrunch;{'series': 'ipo', 'investors': {'TechCrunch', 'Uber', 'Mostafa Maklad'}, 'date_scraped': '2019-05-08T19:05:57', 'company_name': 'Uber'}
08/05/2019 19:07;techcrunch;{'series': 'ipo', 'investors': {'TechCrunch', 'Uber', 'Mostafa Maklad'}, 'date_scraped': '2019-05-08T19:05:57', 'company_name': 'Uber'}
08/05/2019 18:49;techcrunch;{'date_scraped': '2019-05-08T18:48:00', 'company_name': 'CTA'}
08/05/2019 18:17;techcrunch;{'series': 'public', 'investors': {'Sumo Logic', 'Ramin Sayar'}, 'date_scraped': '2019-05-08T18:16:13', 'company_name': 'Google'}
08/05/2019 17:22;techcrunch;{'date_scraped': '2019-05-08T17:21:08', 'company_name': 'Facebook'}
08/05/2019 17:04;techcrunch;
08/05/2019 17:01;techcrunch;{'date_scraped': '2019-05-08T17:00:06', 'company_name': 'UATAG'}
08/05/2019 17:00;techcrunch;{'date_scraped': '2019-05-08T16:00:58', 'company_name': 'Matt Hartman'}
08/05/2019 16:57;techcrunch;
08/05/2019 16:15;techcrunch;
08/05/2019 16:01;techcrunch;{'date_scraped': '2019-05-08T16:00:09', 'company_name': 'Waymo'}
08/05/2019 15:15;techcrunch;{'date_scraped': '2019-05-08T15:13:38', 'company_name': 'Pandora'}
08/05/2019 15:02;techcrunch;{'date_scraped': '2019-05-08T15:00:42', 'company_name': 'RTR'}
08/05/2019 14:44;techcrunch;{'series': 'public', 'date_scraped': '', 'company_name': 'Extra Crunch'}
08/05/2019 14:34;techcrunch;{'date_scraped': '2019-05-08T14:32:29', 'company_name': 'Amazon'}
08/05/2019 14:17;techcrunch;
08/05/2019 14:11;techcrunch;
08/05/2019 14:01;techcrunch;{'series': 'public', 'investors': {'Cloudera', 'Singh'}, 'date_scraped': '2019-05-08T14:00:10', 'company_name': 'Docker'}
08/05/2019 13:24;techcrunch;{'date_scraped': '2019-05-08T13:22:39', 'company_name': 'Tariffs'}
08/05/2019 13:09;techcrunch;{'date_scraped': ''}
08/05/2019 13:04;techcrunch;
08/05/2019 13:02;techcrunch;{'date_scraped': '2019-05-08T13:00:24', 'company_name': 'Bird'}
08/05/2019 13:00;techcrunch;
08/05/2019 12:23;techcrunch;{'series': 'seed', 'date_scraped': '2019-05-08T12:22:35', 'company_name': 'Kargo'}
08/05/2019 12:01;techcrunch;{'series': 'series d', 'investors': {'Jupyter', 'KubeFlow'}, 'date_scraped': '2019-05-08T12:00:34', 'company_name': 'Iguazio'}
08/05/2019 09:49;techcrunch;{'series': 'public', 'investors': {'Weibo', 'State Administration of Press and Publication'}, 'date_scraped': '2019-05-08T09:48:16', 'company_name': 'PUBG'}
08/05/2019 08:01;techcrunch;{'series': 'series a', 'raised_funds': '12000000.0 $', 'investors': set(), 'date_scraped': '2019-05-08T08:00:53', 'company_name': 'HeyJobs'}
08/05/2019 05:14;techcrunch;
08/05/2019 03:47;techcrunch;{'series': 'series b', 'raised_funds': '8000000.0 $', 'investors': set(), 'date_scraped': '2019-05-08T03:46:25', 'company_name': 'CollegeDekho'}
08/05/2019 01:13;techcrunch;
08/05/2019 00:49;techcrunch;
06/05/2019 17:01;techcrunch;
